,Character,Usage Rate,Date
544,アビゲイル,2.351,06-2018
545,春麗,2.28,06-2018
546,さくら,2.24,06-2018
547,バーディー,2.239,06-2018
548,是空,2.201,06-2018
549,ネカリ,1.956,06-2018
550,バルログ,1.873,06-2018
551,コーリン,1.856,06-2018
552,ブランカ,1.688,06-2018
553,ラシード,1.622,06-2018
554,ファルケ,1.411,06-2018
555,メナト,1.319,06-2018
556,ダルシム,1.215,06-2018
557,ファン,0.899,06-2018
558,リュウ,10.059,07-2018
559,豪鬼,8.395,07-2018
560,コーディー,7.715,07-2018
561,ケン,6.802,07-2018
562,ガイル,5.556,07-2018
563,キャミィ,4.754,07-2018
564,ベガ,3.279,07-2018
565,かりん,3.211,07-2018
566,ユリアン,3.113,07-2018
567,ザンギエフ,3.035,07-2018
568,いぶき,2.975,07-2018
569,ナッシュ,2.72,07-2018
570,ララ,2.603,07-2018
571,春麗,2.445,07-2018
572,エド,2.398,07-2018
573,アレックス,2.39,07-2018
574,ジュリ,2.344,07-2018
575,アビゲイル,2.292,07-2018
576,バイソン,2.26,07-2018
577,レインボー・ミカ,2.235,07-2018
578,さくら,2.145,07-2018
579,是空,2.08,07-2018
580,バーディー,2.036,07-2018
581,ネカリ,1.986,07-2018
582,コーリン,1.88,07-2018
583,バルログ,1.679,07-2018
584,ラシード,1.608,07-2018
585,ブランカ,1.509,07-2018
586,メナト,1.367,07-2018
587,ファルケ,1.143,07-2018
588,ダルシム,1.122,07-2018
589,ファン,0.863,07-2018
590,サガット,9.729,08-2018
591,リュウ,8.688,08-2018
592,豪鬼,7.463,08-2018
593,G,7.25,08-2018
594,ケン,5.924,08-2018
595,ガイル,4.648,08-2018
596,キャミィ,3.971,08-2018
597,ベガ,3.2,08-2018
598,コーディー,2.953,08-2018
599,かりん,2.755,08-2018
600,ザンギエフ,2.698,08-2018
601,いぶき,2.509,08-2018
602,ユリアン,2.431,08-2018
603,ララ,2.273,08-2018
604,レインボー・ミカ,2.254,08-2018
605,ナッシュ,2.236,08-2018
606,ジュリ,2.193,08-2018
607,さくら,2.067,08-2018
608,アレックス,2.016,08-2018
609,エド,1.955,08-2018
610,アビゲイル,1.952,08-2018
611,春麗,1.951,08-2018
612,バイソン,1.905,08-2018
613,バーディー,1.742,08-2018
614,是空,1.739,08-2018
615,ネカリ,1.622,08-2018
616,コーリン,1.619,08-2018
617,ラシード,1.572,08-2018
618,バルログ,1.449,08-2018
619,ブランカ,1.24,08-2018
620,メナト,1.181,08-2018
621,ファルケ,1.084,08-2018
